id,winner,loser,player,score,player_score,venue,date,sport,gender,toss,league
351,Thailand Women,Myanmar Women,Thailand Women,65,24,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
352,Mongolia Women,Bahrain Women,Mongolia Women,195,83,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
353,Oman Women,Saudi Arabia Women,Oman Women,77,26,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
354,Kuwait Women,Singapore Women,Kuwait Women,191,42,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
355,Hong Kong,Nepal Women,Hong Kong,149,40,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
356,Indonesia Women,Malaysia Women,Indonesia Women,175,40,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
357,China Women,Philippines Women,China Women,207,59,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
358,New Zealand Women,Bangladesh Women,New Zealand Women,318,124,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
359,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,99,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
360,South Africa Women,Ireland Women,South Africa Women,255,76,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
361,Scotland Women,Netherlands Women,Scotland Women,268,54,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
362,United States of America,Canada,United States of America,466,114,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
363,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,87,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
364,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,40,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
365,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,139,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
366,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,155,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
367,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,98,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
368,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,65,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
369,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,97,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
370,England,New Zealand,Jos Buttler,617,145,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
371,Oman Women,Philippines Women,Oman Women,238,70,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
372,Japan Women,Bahrain Women,Japan Women,236,105,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
373,United Arab Emirates Women,China Women,United Arab Emirates Women,76,34,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
374,Thailand Women,Myanmar Women,Thailand Women,65,22,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
375,Mongolia Women,Bahrain Women,Mongolia Women,195,41,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
376,Oman Women,Saudi Arabia Women,Oman Women,77,23,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
377,Kuwait Women,Singapore Women,Kuwait Women,191,56,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
378,Hong Kong,Nepal Women,Hong Kong,149,58,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
379,Indonesia Women,Malaysia Women,Indonesia Women,175,63,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
380,China Women,Philippines Women,China Women,207,101,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
381,New Zealand Women,Bangladesh Women,New Zealand Women,318,155,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
382,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,155,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
383,South Africa Women,Ireland Women,South Africa Women,255,85,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
384,Scotland Women,Netherlands Women,Scotland Women,268,75,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
385,United States of America,Canada,United States of America,466,120,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
386,Gwalior Cheetahs,Malwa Stallions,Gwalior Cheetahs,329,114,"Daly College Ground, Indore",2026-06-07,Cricket,Men,,Indian Premier League
387,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,78,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
388,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,66,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
389,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,178,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
390,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,111,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
391,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,107,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
392,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,76,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
393,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,83,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
394,England,New Zealand,Ben Stokes,617,148,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
395,Oman Women,Philippines Women,Oman Women,238,95,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
396,Japan Women,Bahrain Women,Japan Women,236,63,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
397,United Arab Emirates Women,China Women,United Arab Emirates Women,76,28,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
398,Thailand Women,Myanmar Women,Thailand Women,65,27,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
399,Mongolia Women,Bahrain Women,Mongolia Women,195,91,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
400,Oman Women,Saudi Arabia Women,Oman Women,77,27,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
401,Kuwait Women,Singapore Women,Kuwait Women,191,38,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
402,Hong Kong,Nepal Women,Hong Kong,149,73,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
403,Indonesia Women,Malaysia Women,Indonesia Women,175,62,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
404,China Women,Philippines Women,China Women,207,47,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
405,New Zealand Women,Bangladesh Women,New Zealand Women,318,146,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
406,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,114,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
407,South Africa Women,Ireland Women,South Africa Women,255,114,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
408,Scotland Women,Netherlands Women,Scotland Women,268,83,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
409,United States of America,Canada,United States of America,466,183,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
410,Gwalior Cheetahs,Malwa Stallions,Gwalior Cheetahs,329,108,"Daly College Ground, Indore",2026-06-07,Cricket,Men,,Indian Premier League
411,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,66,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
412,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,73,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
413,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,104,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
414,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,137,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
415,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,154,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
416,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,152,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
417,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,93,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
418,England,New Zealand,Joe Root,617,142,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
419,Oman Women,Philippines Women,Oman Women,238,100,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
420,Japan Women,Bahrain Women,Japan Women,236,56,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
421,United Arab Emirates Women,China Women,United Arab Emirates Women,76,16,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
422,Thailand Women,Myanmar Women,Thailand Women,65,15,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
423,Mongolia Women,Bahrain Women,Mongolia Women,195,68,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
424,Oman Women,Saudi Arabia Women,Oman Women,77,18,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
425,Kuwait Women,Singapore Women,Kuwait Women,191,51,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
426,Hong Kong,Nepal Women,Hong Kong,149,45,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
427,Indonesia Women,Malaysia Women,Indonesia Women,175,63,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
428,China Women,Philippines Women,China Women,207,91,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
429,New Zealand Women,Bangladesh Women,New Zealand Women,318,128,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
430,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,72,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
431,South Africa Women,Ireland Women,South Africa Women,255,101,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
432,Scotland Women,Netherlands Women,Scotland Women,268,120,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
433,United States of America,Canada,United States of America,466,128,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
434,Gwalior Cheetahs,Malwa Stallions,Gwalior Cheetahs,329,145,"Daly College Ground, Indore",2026-06-07,Cricket,Men,,Indian Premier League
435,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,93,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
436,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,39,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
437,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,153,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
438,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,123,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
439,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,70,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
440,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,97,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
441,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,154,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
442,England,New Zealand,Joe Root,617,216,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
443,Oman Women,Philippines Women,Oman Women,238,70,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
444,Japan Women,Bahrain Women,Japan Women,236,91,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
445,United Arab Emirates Women,China Women,United Arab Emirates Women,76,25,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
446,Thailand Women,Myanmar Women,Thailand Women,65,14,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
447,Mongolia Women,Bahrain Women,Mongolia Women,195,58,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
448,Oman Women,Saudi Arabia Women,Oman Women,77,17,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
449,Kuwait Women,Singapore Women,Kuwait Women,191,61,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
450,Hong Kong,Nepal Women,Hong Kong,149,50,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
451,Indonesia Women,Malaysia Women,Indonesia Women,175,52,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
452,China Women,Philippines Women,China Women,207,70,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
453,New Zealand Women,Bangladesh Women,New Zealand Women,318,68,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
454,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,136,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
455,South Africa Women,Ireland Women,South Africa Women,255,94,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
456,Scotland Women,Netherlands Women,Scotland Women,268,113,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
457,United States of America,Canada,United States of America,466,133,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
458,Gwalior Cheetahs,Malwa Stallions,Gwalior Cheetahs,329,84,"Daly College Ground, Indore",2026-06-07,Cricket,Men,,Indian Premier League
459,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,143,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
460,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,74,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
461,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,87,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
462,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,199,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
463,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,141,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
464,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,117,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
465,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,166,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
466,England,New Zealand,Harry Brook,617,166,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
467,Oman Women,Philippines Women,Oman Women,238,58,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
468,Japan Women,Bahrain Women,Japan Women,236,104,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
469,United Arab Emirates Women,China Women,United Arab Emirates Women,76,16,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
470,Thailand Women,Myanmar Women,Thailand Women,65,19,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
471,Mongolia Women,Bahrain Women,Mongolia Women,195,56,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
472,Oman Women,Saudi Arabia Women,Oman Women,77,18,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
473,Kuwait Women,Singapore Women,Kuwait Women,191,58,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
474,Hong Kong,Nepal Women,Hong Kong,149,40,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
475,Indonesia Women,Malaysia Women,Indonesia Women,175,47,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
476,China Women,Philippines Women,China Women,207,62,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
477,New Zealand Women,Bangladesh Women,New Zealand Women,318,71,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
478,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,100,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
479,South Africa Women,Ireland Women,South Africa Women,255,127,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
480,Scotland Women,Netherlands Women,Scotland Women,268,89,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
481,United States of America,Canada,United States of America,466,152,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
482,Chambal Ghariyals,Royal Nimar Eagles,Chambal Ghariyals,294,141,"Holkar Stadium, Indore",2026-06-07,Cricket,Men,,Indian Premier League
483,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,84,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
484,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,62,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
485,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,176,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
486,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,180,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
487,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,136,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
488,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,89,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
489,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,115,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
490,England,New Zealand,Jos Buttler,617,268,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
491,Oman Women,Philippines Women,Oman Women,238,86,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
492,Japan Women,Bahrain Women,Japan Women,236,98,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
493,United Arab Emirates Women,China Women,United Arab Emirates Women,76,18,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
494,Thailand Women,Myanmar Women,Thailand Women,65,27,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
495,Mongolia Women,Bahrain Women,Mongolia Women,195,68,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
496,Oman Women,Saudi Arabia Women,Oman Women,77,24,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
497,Kuwait Women,Singapore Women,Kuwait Women,191,82,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
498,Hong Kong,Nepal Women,Hong Kong,149,49,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
499,Indonesia Women,Malaysia Women,Indonesia Women,175,40,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
500,China Women,Philippines Women,China Women,207,95,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
501,New Zealand Women,Bangladesh Women,New Zealand Women,318,147,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
502,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,128,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
503,South Africa Women,Ireland Women,South Africa Women,255,121,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
504,Scotland Women,Netherlands Women,Scotland Women,268,131,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
505,United States of America,Canada,United States of America,466,136,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
506,Chambal Ghariyals,Royal Nimar Eagles,Chambal Ghariyals,294,138,"Holkar Stadium, Indore",2026-06-07,Cricket,Men,,Indian Premier League
507,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,101,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
508,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,66,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
509,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,86,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
510,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,195,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
511,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,135,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
512,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,117,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
513,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,71,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
514,England,New Zealand,Jofra Archer,617,227,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
515,Oman Women,Philippines Women,Oman Women,238,111,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
516,Japan Women,Bahrain Women,Japan Women,236,79,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
517,United Arab Emirates Women,China Women,United Arab Emirates Women,76,16,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
518,Thailand Women,Myanmar Women,Thailand Women,65,30,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
519,Mongolia Women,Bahrain Women,Mongolia Women,195,74,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
520,Oman Women,Saudi Arabia Women,Oman Women,77,36,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
521,Kuwait Women,Singapore Women,Kuwait Women,191,43,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
522,Hong Kong,Nepal Women,Hong Kong,149,62,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
523,Indonesia Women,Malaysia Women,Indonesia Women,175,67,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
524,China Women,Philippines Women,China Women,207,98,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
525,New Zealand Women,Bangladesh Women,New Zealand Women,318,83,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
526,Sri Lanka Women,Pakistan Women,Sri Lanka Women,337,101,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
527,South Africa Women,Ireland Women,South Africa Women,255,104,"Haslegrave Ground, Loughborough",2026-06-06,Cricket,Women,,International Cricket
528,Scotland Women,Netherlands Women,Scotland Women,268,68,"County Ground, Derby",2026-06-06,Cricket,Women,,International Cricket
529,United States of America,Canada,United States of America,466,153,"Maple Leaf North-West Ground, King City",2026-06-06,Cricket,Men,,International Cricket
530,Chambal Ghariyals,Royal Nimar Eagles,Chambal Ghariyals,294,82,"Holkar Stadium, Indore",2026-06-07,Cricket,Men,,Indian Premier League
531,Jabalpur Royal Lions,Indore Pink Panthers,Jabalpur Royal Lions,297,121,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
532,Rewa Jaguars,Bundelkhand Bulls,Rewa Jaguars,150,60,"Holkar Stadium, Indore",2026-06-06,Cricket,Men,,Indian Premier League
533,Malwa Stallions,Ujjain Falcons,Malwa Stallions,413,137,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
534,Gwalior Cheetahs,Bhopal Leopards,Gwalior Cheetahs,428,118,"Holkar Stadium, Indore",2026-06-05,Cricket,Men,,Indian Premier League
535,Bhopal Leopards,Indore Pink Panthers,Bhopal Leopards,321,114,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
536,Chambal Ghariyals,Malwa Stallions,Chambal Ghariyals,311,91,"Holkar Stadium, Indore",2026-06-04,Cricket,Men,,Indian Premier League
537,Ujjain Falcons,Gwalior Cheetahs,Ujjain Falcons,350,130,"Holkar Stadium, Indore",2026-06-03,Cricket,Men,,Indian Premier League
538,England,New Zealand,Jos Buttler,617,194,"Lord's, London",2026-06-04,Cricket,Men,,International Cricket
539,Oman Women,Philippines Women,Oman Women,238,77,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
540,Japan Women,Bahrain Women,Japan Women,236,109,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
541,United Arab Emirates Women,China Women,United Arab Emirates Women,76,30,"YSD-UKM Cricket Oval, Bangi",2026-06-07,Cricket,Women,,International Cricket
542,Thailand Women,Myanmar Women,Thailand Women,65,31,"Bayuemas Oval, Kuala Lumpur",2026-06-07,Cricket,Women,,International Cricket
543,Mongolia Women,Bahrain Women,Mongolia Women,195,66,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
544,Oman Women,Saudi Arabia Women,Oman Women,77,22,"YSD-UKM Cricket Oval, Bangi",2026-06-06,Cricket,Women,,International Cricket
545,Kuwait Women,Singapore Women,Kuwait Women,191,84,"Selangor Turf Club, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
546,Hong Kong,Nepal Women,Hong Kong,149,44,"Kolej Tuanku Ja'afar Cricket Oval, Mantin",2026-06-06,Cricket,Women,,International Cricket
547,Indonesia Women,Malaysia Women,Indonesia Women,175,72,"Bayuemas Oval, Kuala Lumpur",2026-06-06,Cricket,Women,,International Cricket
